epoch,step,train_loss,val_loss
0,49,0.12885046005249023,
0,99,0.13013727962970734,
0,149,0.1237172931432724,
0,199,0.13063620030879974,
0,249,0.13705185055732727,
0,299,0.12202687561511993,
0,349,0.11174691468477249,
0,399,0.12714485824108124,
0,449,0.13652007281780243,
0,499,0.12422563135623932,
0,539,,0.12842604517936707
1,549,0.11304769665002823,
1,599,0.1310843527317047,
1,649,0.1369939148426056,
1,699,0.12567993998527527,
1,749,0.12330497801303864,
1,799,0.12460178881883621,
1,849,0.13560214638710022,
1,899,0.11666549742221832,
1,949,0.1329793632030487,
1,999,0.12413644045591354,
1,1049,0.13115401566028595,
1,1079,,0.1285344660282135
2,1099,0.1336354911327362,
2,1149,0.14112739264965057,
2,1199,0.1269616186618805,
2,1249,0.12516403198242188,
2,1299,0.11889636516571045,
2,1349,0.11984865367412567,
2,1399,0.1288602352142334,
2,1449,0.14000266790390015,
2,1499,0.1329493671655655,
2,1549,0.12807011604309082,
2,1599,0.13311785459518433,
2,1619,,0.12864075601100922
3,1649,0.13863620162010193,
3,1699,0.1337776780128479,
3,1749,0.12720446288585663,
3,1799,0.10975178331136703,
3,1849,0.11786572635173798,
3,1899,0.11413741111755371,
3,1949,0.12596678733825684,
3,1999,0.11913199722766876,
3,2049,0.13609513640403748,
3,2099,0.13427746295928955,
3,2149,0.12948085367679596,
3,2159,,0.12889394164085388
4,2199,0.11725927144289017,
4,2249,0.11740049719810486,
4,2299,0.13986152410507202,
4,2349,0.10918519645929337,
4,2399,0.11228372156620026,
4,2449,0.12726151943206787,
4,2499,0.12700465321540833,
4,2549,0.12913531064987183,
4,2599,0.12230105698108673,
4,2649,0.12684102356433868,
4,2699,0.08371590822935104,
4,2699,,0.12739573419094086
5,2749,0.13498848676681519,
5,2799,0.131665900349617,
5,2849,0.12888434529304504,
5,2899,0.12394709885120392,
5,2949,0.11975054442882538,
5,2999,0.12173452228307724,
5,3049,0.11024446785449982,
5,3099,0.13738775253295898,
5,3149,0.12147126346826553,
5,3199,0.13774870336055756,
5,3239,,0.12767425179481506
6,3249,0.12372071295976639,
6,3299,0.12409814447164536,
6,3349,0.11448780447244644,
6,3399,0.1306351274251938,
6,3449,0.11426598578691483,
6,3499,0.12786492705345154,
6,3549,0.13890981674194336,
6,3599,0.12711264193058014,
6,3649,0.13137663900852203,
6,3699,0.13626599311828613,
6,3749,0.133292555809021,
6,3779,,0.12742792069911957
7,3799,0.12092531472444534,
7,3849,0.13917993009090424,
7,3899,0.13094601035118103,
7,3949,0.1417953222990036,
7,3999,0.13412845134735107,
7,4049,0.12824881076812744,
7,4099,0.12812727689743042,
7,4149,0.13268473744392395,
7,4199,0.12415958940982819,
7,4249,0.11538585275411606,
7,4299,0.12012909352779388,
7,4319,,0.12688477337360382
8,4349,0.12074357271194458,
8,4399,0.11318355053663254,
8,4449,0.1123027577996254,
8,4499,0.12459734827280045,
8,4549,0.13432815670967102,
8,4599,0.13354286551475525,
8,4649,0.1321699172258377,
8,4699,0.13839474320411682,
8,4749,0.12359463423490524,
8,4799,0.12066250294446945,
8,4849,0.12606967985630035,
8,4859,,0.12790392339229584
9,4899,0.1344265192747116,
9,4949,0.11698272079229355,
9,4999,0.1325821578502655,
9,5049,0.1282297968864441,
9,5099,0.13114655017852783,
9,5149,0.12023276090621948,
9,5199,0.1284809559583664,
9,5249,0.1243882030248642,
9,5299,0.12333723902702332,
9,5349,0.1229461282491684,
9,5399,0.15506595373153687,
9,5399,,0.12702226638793945
