imf_ccode,year,art8,restrict,flexible,gnpcap,regnorm,gdpgrow,resgdp,bopgdp,useimfcr,surveil,univers,resvol,totvol,tradedep,lastrest,lastrest2,lastrest3,military,termlim,parli,shift_left,leftshift_inc,rightshift_inc,leftshift_exc,rightshift_exc,leftshift_inc_leg,rightshift_inc_leg,leftshift_exc_leg,rightshift_exc_leg,shift_left_fixed,leftrule,l_leftshift_inc,l_rightshift_inc,l_leftshift_exc,l_rightshift_exc,l_leftshift_inc_leg,l_rightshift_inc_leg,l_leftshift_exc_leg,l_rightshift_exc_leg,year2,year3,interact1,interact2,interact3,interact4,interact5
1,1967,0,0,0,-4426.787840134117,0,21.83973354486142,0.02302519977092743,-20.52269639778559,0,0,29.41176986694336,-2.5089480876922607,3.4319734516645846,-44.62444120470862,0,0,0,1.0541005064760955,0.10556354694407777,-0.029754606537628847,-0.1047836246560205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3869089,7610498048,NA,NA,NA,NA,NA
1,1968,0,0,0,-1594.5159015438371,0,31.462255620764207,0.033196501433849335,11.04491973206062,0,0,31.730770111083984,-2.5089480876922607,4.1157532818272955,156.0697736079982,1,1,1,0.9027477272128948,0.26508317822712646,-0.6725128965994533,0.13810814243952724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3873024,7622111232,NA,NA,NA,NA,NA
1,1969,0,0,0,364.66576123548884,0,-54.20774370834632,0.02936610020697117,-7.629046482838827,0,0,33.9622688293457,-2.5089480876922607,3.049833824900937,-38.099388527076556,2,4,8,0.2656383614792923,0.5624743834286389,0.17289642286311577,-0.11818873891602118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3876961,7633736192,NA,NA,NA,NA,NA
1,1970,0,0,0,195.2717319324879,0,12.239170206948348,0.02829740010201931,15.508446041245294,0,0,33.02751922607422,-2.5089480876922607,3.279521824071053,127.64974782149001,3,9,27,0.58747767783597,0.353565246001426,0.16854183077558124,-0.16152485160804841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3880900,7645372928,NA,NA,NA,NA,NA
1,1971,0,0,0,-3361.5331285002817,0,1.8074424978839176,0.03692509979009628,-9.38255336480569,0,0,33.33333969116211,-2.5089480876922607,3.322232794412965,122.83581273314472,4,16,64,0.1842638231956391,0.036377354632459946,-0.056139925864570395,0.01657756162148292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3884841,7657021440,NA,NA,NA,NA,NA
1,1972,0,0,0,-582.5631392443488,0,-2.944034196084779,0.05094759911298752,3.598166798979316,0,0,31.896549224853516,-2.5089480876922607,3.5941513389698967,45.13604637074813,5,25,125,0.4160895318279517,0.21096477945085934,0.5267749007837834,-0.17430561092052865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3888784,7668682240,NA,NA,NA,NA,NA
1,1973,0,0,0,1118.0123206887274,0,-6.792113949708068,0.07282509654760361,-1.7893576281559578,0,0,30.894309997558594,-2.5089480876922607,3.1217794337475353,99.39615350221376,6,36,216,0.37498657058669616,0.2148618523846213,0.8377442725777758,0.22857352576641227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3892729,7680354304,NA,NA,NA,NA,NA
1,1974,0,0,0,-2221.1421315637394,0,8.10639461908658,0.09345919638872147,-8.624616581695934,0,0,33.8709716796875,-2.5089480876922607,3.563776554274198,129.70152895757133,7,49,343,0.8444132756965468,-0.33788615953127266,0.5974913203553648,-0.06349568802920742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3896676,7692038656,NA,NA,NA,NA,NA
1,1975,0,1,0,292.34053597040065,0,32.24128071227744,0.09180039912462234,10.009840667075787,0,0,35.48387145996094,-2.5089480876922607,3.992765072421691,166.01185200026953,8,64,512,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3900625,7703734272,NA,NA,NA,NA,0
1,1976,0,1,1,-2713.431410650362,0,33.125189361164985,0.10037189722061157,-8.366966646936842,0,0,35.43307113647461,-2.5089480876922607,3.435362442072561,73.29796374548447,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3904576,7715442176,0,0,0,0,0
1,1977,0,1,1,-2504.3658152242083,0,23.731858127415897,0.14595000445842743,-5.655202960348072,0,0,36.2204704284668,-2.5089480876922607,2.771009895747043,21.75350410853192,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3908529,7727161856,0,0,0,0,0
1,1978,0,0,1,3798.118934095405,0,-9.839094810424847,0.1833420991897583,0.9210861821957219,0,1,36.64122009277344,-2.5089480876922607,2.984377518741707,111.00832590414454,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3912484,7738893312,0,0,0,0,0
1,1979,0,1,1,265.24667847040837,0,-39.74988928436832,0.25297170877456665,-2.6953940391540527,0,1,35.29412078857422,-2.5089480876922607,2.4378110267676263,38.23617172241211,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3916441,7750636544,0,0,0,0,0
1,1980,0,1,1,5213.221329971995,0,28.445449746401085,0.25830018520355225,1.4728050231933594,0,1,36.42856979370117,-2.5089480876922607,2.473240077197594,47.18471908569336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,3920400,7762392064,0,0,0,0,0
1,1981,0,1,1,6617.447240684112,0,-15.604163338865703,0.18903860449790955,-5.9135589599609375,0,1,38.29787063598633,-2.5089480876922607,3.6026532703026377,53.06686782836914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3924361,7774159360,0,0,0,0,0
1,1982,0,1,1,1560.5861065535435,0,9.821807365129963,0.12982240024828182,6.696316439056973,0,1,37.67123031616211,-2.5089480876922607,4.04288983004955,33.60851788841572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3928324,7785937920,0,0,0,0,0
1,1983,0,1,0,1307.742325056765,0,1.0150244150831371,0.39640309655711237,-6.400885668579255,0,1,39.041099548339844,-2.5089480876922607,3.723756709094654,115.31897006527552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3932289,7797729280,0,0,0,0,0
1,1984,0,1,0,-240.86162528122395,0,22.82923941808774,0.20952801585184977,3.7941346805289204,0,1,41.095890045166016,-2.5089480876922607,4.377546209101097,98.252113340824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3936256,7809531904,0,0,0,0,0
1,1985,0,1,0,3263.0925062525776,0,12.301016318859642,0.21107301014082974,-4.386775283262969,0,1,40.81632995605469,-2.5089480876922607,4.2136621441168565,90.40051191708129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3940225,7821346816,0,0,0,0,0
1,1986,0,1,0,4365.809808992348,0,18.44646824244672,0.34348096921183285,19.57000257110715,0,1,40.5405387878418,-2.5089480876922607,3.6611536523648165,38.475459360748765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3944196,7833173504,0,0,0,0,0
1,1987,0,1,0,1055.9820084344465,0,28.295554260067913,0.303082796424921,14.853104658384504,0,1,41.721858978271484,-2.5089480876922607,2.4242780965513915,143.4558335039608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3948169,7845011968,0,0,0,0,0
1,1988,0,1,0,2648.9731842963633,0,28.75273128688062,0.3133089569218526,18.450879823418838,0,1,41.721858978271484,-2.5089480876922607,2.417990020354763,189.66945100620478,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3952144,7856862208,0,0,0,0,0
1,1989,0,1,0,-1019.4883050407493,0,4.110844835971933,0.02072661640437304,-18.663078608638408,0,1,43.70861053466797,-2.5089480876922607,3.2305015180289334,164.16941345732425,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3956121,7868724736,0,0,0,0,0
