epoch,step,train_loss,val_loss
0,49,0.12146156281232834,
0,99,0.14065498113632202,
0,149,0.13724663853645325,
0,199,0.1289675384759903,
0,249,0.12856124341487885,
0,299,0.11849397420883179,
0,349,0.13971921801567078,
0,399,0.11911322921514511,
0,449,0.13159151375293732,
0,499,0.11911758035421371,
0,539,,0.13279767334461212
1,549,0.12492859363555908,
1,599,0.11564062535762787,
1,649,0.13746441900730133,
1,699,0.12655873596668243,
1,749,0.11443864554166794,
1,799,0.11649162322282791,
1,849,0.1282288283109665,
1,899,0.13283692300319672,
1,949,0.11701998114585876,
1,999,0.13398902118206024,
1,1049,0.1185588613152504,
1,1079,,0.1290031373500824
2,1099,0.14005911350250244,
2,1149,0.11690334230661392,
2,1199,0.1356126219034195,
2,1249,0.12716630101203918,
2,1299,0.11915300041437149,
2,1349,0.1132437065243721,
2,1399,0.1409432739019394,
2,1449,0.12347128242254257,
2,1499,0.13313044607639313,
2,1549,0.12699230015277863,
2,1599,0.11508084833621979,
2,1619,,0.1283702403306961
3,1649,0.11988621950149536,
3,1699,0.1275099813938141,
3,1749,0.12407992780208588,
3,1799,0.12265599519014359,
3,1849,0.1316298246383667,
3,1899,0.13090366125106812,
3,1949,0.13016843795776367,
3,1999,0.12409836798906326,
3,2049,0.12703371047973633,
3,2099,0.12687265872955322,
3,2149,0.13017797470092773,
3,2159,,0.127918541431427
4,2199,0.1298818290233612,
4,2249,0.11219558864831924,
4,2299,0.13400691747665405,
4,2349,0.13430793583393097,
4,2399,0.13958467543125153,
4,2449,0.14750094711780548,
4,2499,0.11896011978387833,
4,2549,0.12832260131835938,
4,2599,0.1199272871017456,
4,2649,0.1252380907535553,
4,2699,0.13303638994693756,
4,2699,,0.12766523659229279
5,2749,0.12996767461299896,
5,2799,0.1348961442708969,
5,2849,0.12807057797908783,
5,2899,0.12221606820821762,
5,2949,0.13285787403583527,
5,2999,0.13523288071155548,
5,3049,0.13267230987548828,
5,3099,0.1258162558078766,
5,3149,0.1491420716047287,
5,3199,0.12935487926006317,
5,3239,,0.12771199643611908
6,3249,0.12154137343168259,
6,3299,0.1184111014008522,
6,3349,0.12109784781932831,
6,3399,0.12042224407196045,
6,3449,0.12120575457811356,
6,3499,0.11961038410663605,
6,3549,0.13467662036418915,
6,3599,0.12455692887306213,
6,3649,0.12374894320964813,
6,3699,0.1345624029636383,
6,3749,0.1341031789779663,
6,3779,,0.1276673674583435
7,3799,0.12962613999843597,
7,3849,0.12808965146541595,
7,3899,0.12993638217449188,
7,3949,0.12052889168262482,
7,3999,0.11282647401094437,
7,4049,0.10802031308412552,
7,4099,0.13620522618293762,
7,4149,0.12366558611392975,
7,4199,0.12773676216602325,
7,4249,0.11576385051012039,
7,4299,0.1331295669078827,
7,4319,,0.12748658657073975
8,4349,0.13054978847503662,
8,4399,0.12369167804718018,
8,4449,0.12694910168647766,
8,4499,0.12460920214653015,
8,4549,0.12978486716747284,
8,4599,0.12836286425590515,
8,4649,0.13607263565063477,
8,4699,0.11507994681596756,
8,4749,0.11451198160648346,
8,4799,0.11295770853757858,
8,4849,0.11861671507358551,
8,4859,,0.12715427577495575
9,4899,0.12914656102657318,
9,4949,0.11607228964567184,
9,4999,0.1323600560426712,
9,5049,0.11338125914335251,
9,5099,0.1310829520225525,
9,5149,0.1208382099866867,
9,5199,0.12272027134895325,
9,5249,0.11432501673698425,
9,5299,0.12357275187969208,
9,5349,0.12384459376335144,
9,5399,0.13841108977794647,
9,5399,,0.12726253271102905
10,5449,0.1320708692073822,
10,5499,0.14370495080947876,
10,5549,0.1283944547176361,
10,5599,0.12525257468223572,
10,5649,0.1202380433678627,
10,5699,0.1329755038022995,
10,5749,0.12722830474376678,
10,5799,0.13267086446285248,
10,5849,0.1159859299659729,
10,5899,0.1163225993514061,
10,5939,,0.12689290940761566
11,5949,0.1232062578201294,
11,5999,0.11614374816417694,
11,6049,0.11922021210193634,
11,6099,0.1267525553703308,
11,6149,0.13342513144016266,
11,6199,0.13167595863342285,
11,6249,0.12740297615528107,
11,6299,0.1388888657093048,
11,6349,0.13335466384887695,
11,6399,0.11973247677087784,
11,6449,0.12939932942390442,
11,6479,,0.1264141947031021
12,6499,0.13488492369651794,
12,6549,0.11921576410531998,
12,6599,0.12251417338848114,
12,6649,0.13498146831989288,
12,6699,0.12591123580932617,
12,6749,0.11198890209197998,
12,6799,0.13100646436214447,
12,6849,0.12879788875579834,
12,6899,0.12399090826511383,
12,6949,0.1256338506937027,
12,6999,0.13214457035064697,
12,7019,,0.12625794112682343
13,7049,0.11460698395967484,
13,7099,0.11791621148586273,
13,7149,0.13644619286060333,
13,7199,0.12696851789951324,
13,7249,0.1369462013244629,
13,7299,0.12163979560136795,
13,7349,0.12362786382436752,
13,7399,0.12124717235565186,
13,7449,0.12181312590837479,
13,7499,0.13479511439800262,
